Variable,,,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmax,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tas,tas,tas,tas,tas,tas,tas,tas,tas,tas,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr
Station,,,ELK(Elk R ab Campbell Lk),ERC(Eric Creek ),GLD(Gold R below Ucona R),HEB(Heber River near Gold River),JHT(John Hart Substation),QIN(Quinsam R at Argonaut Br),QSM(Quinsam R nr Campbell R),SAM(Salmon R ab Campbell Div),SCA(Strathcona Dam),WOL(Wolf River Upper),ELK(Elk R ab Campbell Lk),ERC(Eric Creek ),GLD(Gold R below Ucona R),HEB(Heber River near Gold River),JHT(John Hart Substation),QIN(Quinsam R at Argonaut Br),QSM(Quinsam R nr Campbell R),SAM(Salmon R ab Campbell Div),SCA(Strathcona Dam),WOL(Wolf River Upper),ELK(Elk R ab Campbell Lk),ERC(Eric Creek ),GLD(Gold R below Ucona R),HEB(Heber River near Gold River),JHT(John Hart Substation),QIN(Quinsam R at Argonaut Br),QSM(Quinsam R nr Campbell R),SAM(Salmon R ab Campbell Div),SCA(Strathcona Dam),WOL(Wolf River Upper),ELK(Elk R ab Campbell Lk),ERC(Eric Creek ),GLD(Gold R below Ucona R),HEB(Heber River near Gold River),JHT(John Hart Substation),QIN(Quinsam R at Argonaut Br),QSM(Quinsam R nr Campbell R),SAM(Salmon R ab Campbell Div),SCA(Strathcona Dam),WOL(Wolf River Upper)
Year,Month,Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,1,1,-11.45,-11.319,-6.7849,-6.539,-5.6666,-8.166,-5.6033,-9.1496,-7.2232,-10.597,-18.948,-19.141,-13.287,-12.746,-11.09,-14.601,-11.035,-15.6,-13.257,-18.14,-15.199,-15.23,-10.036,-9.6424,-8.3782,-11.384,-8.319,-12.375,-10.24,-14.368,4.426,4.7967,4.501,4.4531,0,4.4325,0,4.3176,0.57782,4.6119
1950,1,2,-10.345,-10.878,-5.1221,-5.2576,-6.1886,-7.8852,-6.0859,-8.803,-6.9523,-9.4253,-22.628,-23.332,-16.358,-16.099,-15.176,-19.009,-15.138,-19.746,-17.411,-21.751,-16.486,-17.105,-10.74,-10.678,-10.682,-13.447,-10.612,-14.275,-12.182,-15.588,2.6684,2.8503,2.3928,2.4393,2.8349,2.7578,2.8353,2.6994,2.695,2.6632
1950,1,3,-5.0678,-5.6887,-2.2085,-2.825,-5.1728,-5.1064,-5.0931,-5.4621,-4.7693,-4.3985,-16.951,-17.707,-12.446,-12.638,-12.913,-15.172,-12.871,-15.693,-14.152,-16.223,-11.009,-11.698,-7.3272,-7.7315,-9.043,-10.139,-8.9819,-10.578,-9.4606,-10.311,6.7766,6.3782,6.1521,6.9657,11.183,8.2651,11.101,8.3251,8.9449,6.3192
1950,1,4,-3.5111,-4.1069,-0.81949,-1.1011,-2.3663,-2.9006,-2.2996,-3.2581,-2.4218,-3.01,-13.372,-14.14,-9.6644,-9.9588,-11.235,-12.389,-11.173,-12.792,-11.645,-12.76,-8.4418,-9.1236,-5.2419,-5.5299,-6.8007,-7.645,-6.736,-8.0248,-7.0334,-7.885,5.2977,5.1338,4.9728,4.9129,4.4595,4.9093,4.4413,5.0572,4.8215,5.2194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
